rank,priority_tier,disease,accession,repository,hosting_repository,biospecimen,design,human_only,estimated_case_n,estimated_control_n,estimated_total_n,quant_ready_likelihood,notes,source_url
1,A,Alzheimers,PXD022265,PRIDE,PRIDE,blood_plasma,case_control,yes,,,113,medium,AD plasma biomarker discovery cohort (AA and non-Hispanic-White groups).,https://www.omicsdi.org/dataset/pride/PXD022265
2,A,Alzheimers,PXD011482,PRIDE,PRIDE,blood_serum,case_control,yes,,,,medium,Deep undepleted human serum proteome profiling for AD biomarker discovery.,https://www.omicsdi.org/dataset/pride/PXD011482
3,A,MS,PXD040101,PRIDE,PRIDE,blood_plasma,case_control,yes,22,22,44,medium,MS plasma TMT proteomics with explicit MS vs healthy control groups.,https://www.omicsdi.org/dataset/pride/PXD040101
4,A,Parkinsons,PXD026439,ProteomeXchange,iProX,blood_plasma,case_control,yes,,,,low,PD plasma TMT dataset hosted via iProX (not PRIDE); may need non-PRIDE ingestion route.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD026439
5,B,Alzheimers,PXD028392,PRIDE,PRIDE,blood_serum,case_control,yes,,,128,low,Serum autoantibody-focused proteomics workflow; supportive but not plain global plasma proteome.,https://www.omicsdi.org/dataset/pride/PXD028392
6,B,MS,PXD035422,ProteomeXchange,PRIDE/jPOST_unspecified,blood_plasma,longitudinal_relapse_activity,yes,,,,low,RRMS temporal plasma biomarker profiling (activity-linked; not classic simple case-control).,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD035422
7,B,MS,PXD043337-1,ProteomeXchange,jPOST,blood_plasma_EV,relapse_vs_remission,yes,,,,low,Plasma EV + CSF EV proteomics in RRMS disease activity context.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD043337-1&test=no
8,B,Parkinsons,PXD051421-1,ProteomeXchange,jPOST,blood_plasma_EV,parkinsonism_subtype,yes,,,,low,"Plasma EV proteomics across PD cognitive subtypes, MSA, and healthy controls.",https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD051421-1&test=no
9,B,Parkinsons,PXD051111,ProteomeXchange,jPOST,blood_plasma_EV,parkinsonism_differential,yes,,,,low,Plasma EV profiling in PD vs MSA differential diagnosis setting.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD051111
10,B,Alzheimers,PXD059280,ProteomeXchange,PRIDE/unspecified,blood_serum_plus_CSF,stage_progression,yes,,,,low,Paired serum/CSF AD progression structural+glycoproteomic profiling; useful for blood layer if serum extractable.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD059280
